final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
14203,content_31eef8eeedc1,client_19581e27de,54.5965276888178,random_forest,0.3808865709939483,0.876934898696145,medium,monitor,page_one_decay_risk|low_engagement_visible_page|engagement_review_candidate,0,15284,78,111,4.1,0.51,329,104,0.0,up,LOW,keyword article,transactional,181-365,91-180,unknown,good,page_1
14204,content_661d61ddc5a9,client_f74efabef1,54.59519516997855,random_forest,0.658864156704877,0.2715864870436508,medium,refresh,declining_with_demand|model_decline_risk,1,101,1,3,8.4,0.99,123,20,2490.0,down,LOW,keyword article,commercial,91-180,0-30,2000-3500,low,page_1
14205,content_fa81397b5422,client_4e07408562,54.595015547072514,random_forest,0.5923075555756482,0.4165104763492063,medium,refresh,general_refresh_review|visible_model_opportunity,0,2292,8,14,22.0,0.35,277,13,2716.0,up,LOW,keyword article,informational,181-365,0-30,2000-3500,moderate,page_3_5
14206,content_84a4de62123b,client_4e07408562,54.594375687345945,random_forest,0.4420191881309673,0.7437493131632653,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|ctr_review_candidate,1,13312,14,16,14.9,0.11,347,25,2676.0,down,LOW,keyword article,transactional,181-365,0-30,2000-3500,good,striking
14207,content_29f3f30befe7,client_4e07408562,54.591746041778954,random_forest,0.4921111672013802,0.634590286260771,medium,monitor,page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,0,29922,21,22,5.7,0.07,347,7,2509.0,up,LOW,keyword article,commercial,181-365,0-30,2000-3500,good,page_1
14208,content_3d8e2dcf5670,client_19581e27de,54.591268466995956,random_forest,0.4675609094960483,0.6880345670918367,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|ctr_review_candidate,1,2196,2,39,10.3,0.09,362,104,0.0,down,LOW,keyword article,commercial,181-365,91-180,unknown,moderate,striking
14209,content_e484dd7a5516,client_6208ef0f77,54.587630557063996,random_forest,0.524888263887616,0.5630888653911565,medium,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|visible_model_opportunity|engagement_review_candidate,1,9620,44,101,27.1,0.46,111,20,3406.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,good,page_3_5
14210,content_396019fec61a,client_4e07408562,54.5864190341745,random_forest,0.3577901417144181,0.926913811111111,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,83362,74,64,3.8,0.09,445,104,0.0,stable,LOW,keyword article,informational,365+,91-180,unknown,excellent,page_1
14211,content_2b8fb4df03ad,client_349c41201b,54.58596251790521,random_forest,0.6347994588526435,0.3237010922023809,medium,refresh,declining_with_demand,1,266,1,1,8.3,0.38,154,20,4489.0,down,LOW,keyword article,commercial,91-180,0-30,3500+,low,page_1
14212,content_27d1e343386c,client_19581e27de,54.585336299122325,random_forest,0.3766649992596156,0.8857793963151928,medium,refresh_and_review_engagement,declining_with_demand|page_one_decay_risk|low_engagement_visible_page|engagement_review_candidate,1,28124,217,181,7.8,0.77,313,104,0.0,down,LOW,keyword article,transactional,181-365,91-180,unknown,good,page_1
14213,content_0d3a62dce5e3,client_f369cb89fc,54.58474418030175,random_forest,0.6053800493049782,0.3877250963469387,medium,refresh,declining_with_demand|visible_model_opportunity,1,671,4,7,15.8,0.6,131,20,2992.0,down,HIGH,keyword article,transactional,91-180,0-30,2000-3500,moderate,striking
14214,content_1d637966d2d2,client_4e07408562,54.581944233385435,random_forest,0.5193778185159844,0.5749111851998299,medium,refresh,page_one_decay_risk|low_ctr_visible_page|visible_model_opportunity|ctr_review_candidate,0,3517,2,2,8.1,0.06,390,20,2762.0,stable,LOW,keyword article,informational,365+,0-30,2000-3500,good,page_1
14215,content_2b074219d79d,client_bdd2d3af3a,54.58177952949126,random_forest,0.6289986656915418,0.3362024208656463,medium,refresh,declining_with_demand,1,293,1,3,7.7,0.34,91,20,2993.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,low,page_1
14216,content_8c0494cbb9e0,client_f369cb89fc,54.580393112798895,random_forest,0.6556408383122609,0.278144929797619,medium,refresh,general_refresh_review|model_decline_risk,0,137,0,1,12.9,0.0,131,20,2975.0,up,HIGH,keyword article,commercial,91-180,0-30,2000-3500,low,striking
14217,content_eb4c8f7b7466,client_a88a7902cb,54.58003298086276,random_forest,0.6199677423320761,0.3558132751802721,medium,monitor,general_refresh_review,0,80,0,3,10.4,0.0,148,28,3153.0,up,LOW,keyword article,informational,91-180,0-30,2000-3500,low,striking
14218,content_02ad3c63c3cf,client_6208ef0f77,54.580031031808275,random_forest,0.5880372385058057,0.4253431234265873,medium,monitor,general_refresh_review,0,206,2,10,27.3,0.97,236,104,6942.0,up,LOW,keyword article,commercial,181-365,91-180,3500+,low,page_3_5
14219,content_6f39f7db3a44,client_624b60c58c,54.577593528407206,random_forest,0.6729255146488383,0.2404197889498299,medium,refresh,declining_with_demand|model_decline_risk,1,261,1,1,7.9,0.38,91,8,3791.0,down,unknown,feedly article,unknown,91-180,0-30,3500+,low,page_1
14220,content_5aeaa1a36303,client_6208ef0f77,54.57702764759136,random_forest,0.6071869341965795,0.383550490952381,medium,refresh,general_refresh_review|visible_model_opportunity,0,1179,4,6,34.6,0.34,111,20,3302.0,up,LOW,keyword article,commercial,91-180,0-30,2000-3500,moderate,page_3_5
14221,content_974e911e7833,client_8722616204,54.575427781511024,random_forest,0.658779978991752,0.2711548693594104,medium,refresh,declining_with_demand|page_one_decay_risk|model_decline_risk,1,104,0,2,7.2,0.0,228,20,3192.0,down,LOW,keyword article,informational,181-365,0-30,2000-3500,low,page_1
14222,content_438de6fb2e89,client_4e07408562,54.574648327737584,random_forest,0.3626665453184963,0.9159290938208616,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,42178,160,85,4.1,0.38,420,104,0.0,stable,LOW,keyword article,transactional,365+,91-180,unknown,excellent,page_1
14223,content_b83ad86094a8,client_6208ef0f77,54.572963879393235,random_forest,0.5625752290563285,0.4805677924172336,medium,refresh,general_refresh_review|visible_model_opportunity,0,1978,15,21,17.2,0.76,98,20,3610.0,up,LOW,keyword article,informational,91-180,0-30,3500+,moderate,striking
14224,content_91d23098c4b6,client_6208ef0f77,54.5721311856972,random_forest,0.5133614874097221,0.5877067179138322,medium,refresh,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,0,4686,20,312,7.1,0.43,300,20,8215.0,up,LOW,keyword article,transactional,181-365,0-30,3500+,good,page_1
14225,content_d33d9ae60541,client_349c41201b,54.57195253886668,random_forest,0.5854438234621039,0.4307390818333333,medium,refresh,general_refresh_review|visible_model_opportunity,0,828,5,10,6.6,0.6,119,20,3191.0,up,HIGH,keyword article,commercial,91-180,0-30,2000-3500,moderate,page_1
14226,content_29a7e3c025d0,client_8722616204,54.570653608765205,random_forest,0.6987367954217611,0.1839988403815192,medium,refresh,general_refresh_review|model_decline_risk,1,96,0,2,7.6,0.0,96,8,2947.0,down,MEDIUM,keyword article,commercial,91-180,0-30,2000-3500,low,page_1
14227,content_008976632003,client_19581e27de,54.569632711891614,random_forest,0.3947183495420564,0.8459790243764173,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,9318,40,42,3.7,0.43,330,104,0.0,stable,LOW,keyword article,informational,181-365,91-180,unknown,good,page_1
14228,content_e6708d168e20,client_f369cb89fc,54.56938283420438,random_forest,0.680173193229234,0.2243822723287981,medium,refresh,declining_with_demand|model_decline_risk,1,170,1,5,4.2,0.59,141,8,2441.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,low,page_1
14229,content_40993233e0ef,client_6208ef0f77,54.56821629391965,random_forest,0.6367684152288944,0.3188615692831633,medium,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|engagement_review_candidate,1,398,2,147,26.4,0.5,118,20,3662.0,down,LOW,keyword article,informational,91-180,0-30,3500+,moderate,page_3_5
14230,content_c3cf206e8d4e,client_19581e27de,54.56684944724319,random_forest,0.4517317821074098,0.7217434856575963,medium,monitor,page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,0,5545,14,20,4.9,0.25,482,22,0.0,stable,LOW,keyword article,informational,365+,0-30,unknown,good,page_1
14231,content_b3733b63fe1d,client_4e07408562,54.56655615756332,random_forest,0.3770519280701503,0.884352636904762,medium,monitor,page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,0,20424,33,29,5.5,0.16,504,104,0.0,up,unknown,keyword article,informational,365+,91-180,unknown,good,page_1
14232,content_2119b9dfc0e7,client_6208ef0f77,54.56142625501796,random_forest,0.4549777788005912,0.714506499111678,medium,monitor,low_engagement_visible_page|engagement_review_candidate,0,10982,39,102,27.1,0.36,300,104,6154.0,stable,LOW,keyword article,transactional,181-365,91-180,3500+,good,page_3_5
14233,content_6e9940e5601b,client_6208ef0f77,54.56096309073715,random_forest,0.39716008686801,0.840392354829932,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,1,22699,100,329,8.8,0.44,124,104,3771.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
14234,content_2701f767cd38,client_d029fa3a95,54.5599043256653,random_forest,0.6447189811210644,0.3012903379126984,medium,monitor,general_refresh_review,0,165,1,3,6.6,0.61,130,20,2632.0,stable,LOW,comparison article,informational,91-180,0-30,2000-3500,low,page_1
14235,content_bf57a6284e77,client_19581e27de,54.55963844128614,random_forest,0.5652718691502744,0.4742812304807256,medium,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|engagement_review_candidate,1,383,1,225,24.0,0.26,139,104,3334.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,moderate,page_3_5
14236,content_21d71284cee6,client_a88a7902cb,54.55783542631257,random_forest,0.5545889645574147,0.4974875813809524,medium,refresh,general_refresh_review|visible_model_opportunity,0,1665,18,22,7.8,1.08,90,20,3076.0,up,LOW,keyword article,commercial,31-90,0-30,2000-3500,moderate,page_1
14237,content_dc930d7c1a7c,client_19581e27de,54.55689057819211,random_forest,0.4367035753614148,0.7541581904761904,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,1,8906,19,32,6.5,0.21,482,22,0.0,down,LOW,keyword article,transactional,365+,0-30,unknown,good,page_1
14238,content_bcdc38cb4fc0,client_f369cb89fc,54.55688959374173,random_forest,0.663656291510274,0.2599598296581633,medium,refresh,page_one_decay_risk|model_decline_risk,0,79,0,3,7.0,0.0,181,20,2747.0,stable,LOW,keyword article,informational,181-365,0-30,2000-3500,low,page_1
14239,content_0e86bb1ed59a,client_19581e27de,54.556250994761804,random_forest,0.3750919654709507,0.8882999615079364,medium,monitor,page_one_decay_risk|low_engagement_visible_page|engagement_review_candidate,0,15302,96,138,1.7,0.63,329,104,0.0,stable,LOW,keyword article,transactional,181-365,91-180,unknown,good,top_3
14240,content_115ca955ea1a,client_f74efabef1,54.555831325433545,random_forest,0.640007627655268,0.311422790920068,medium,refresh,declining_with_demand,1,498,1,1,40.6,0.2,112,20,2319.0,down,LOW,keyword article,commercial,91-180,0-30,2000-3500,moderate,page_3_5
14241,content_ab8c611799d9,client_349c41201b,54.55566062630932,random_forest,0.4823442405552313,0.6547356132029479,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,1,9755,47,59,8.9,0.48,126,20,2746.0,down,HIGH,keyword article,transactional,91-180,0-30,2000-3500,good,page_1
14242,content_1f229ff896ef,client_a88a7902cb,54.55480616399602,random_forest,0.6003123520505468,0.3978289006944445,medium,refresh,declining_with_demand|visible_model_opportunity,1,622,0,3,64.2,0.0,180,28,3298.0,down,LOW,keyword article,transactional,91-180,0-30,2000-3500,moderate,deep
14243,content_dbaec841d4cf,client_4e07408562,54.554568013929014,random_forest,0.5843817825556745,0.4325109245238095,medium,refresh,page_one_decay_risk|low_ctr_visible_page|visible_model_opportunity|ctr_review_candidate,0,1719,6,8,8.2,0.35,326,13,2902.0,up,LOW,keyword article,transactional,181-365,0-30,2000-3500,moderate,page_1
14244,content_c75e95f6be6d,client_a88a7902cb,54.55212356358305,random_forest,0.6150429737809654,0.3656689517823129,medium,monitor,general_refresh_review,0,450,3,5,10.9,0.67,95,20,2807.0,stable,MEDIUM,keyword article,transactional,91-180,0-30,2000-3500,moderate,striking
14245,content_ed831c57a3e8,client_f369cb89fc,54.551711633421306,random_forest,0.6486203857552563,0.2925400224234693,medium,refresh,declining_with_demand,1,463,3,3,6.0,0.65,106,8,3082.0,down,LOW,keyword article,commercial,91-180,0-30,2000-3500,moderate,page_1
14246,content_fdf4d5b05e17,client_4e07408562,54.55137721831444,random_forest,0.4946495935001135,0.6278069835756804,medium,refresh,declining_with_demand,1,4904,6,4,24.4,0.12,445,25,3165.0,down,MEDIUM,keyword article,commercial,365+,0-30,2000-3500,good,page_3_5
14247,content_5a6e508b7597,client_4e07408562,54.54830214651363,random_forest,0.4747418204394455,0.6710612721230158,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,1,9535,10,13,3.8,0.1,421,20,2966.0,down,LOW,keyword article,commercial,365+,0-30,2000-3500,good,page_1
14248,content_bd99587cb8a8,client_f369cb89fc,54.54745572635208,random_forest,0.539046167374675,0.5310097357276078,medium,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|visible_model_opportunity|engagement_review_candidate,1,2021,25,33,5.3,1.24,95,20,2705.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,moderate,page_1
14249,content_dfa4444f899d,client_19581e27de,54.546293580241354,random_forest,0.5501835059741247,0.5067215978458051,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|visible_model_opportunity|ctr_review_candidate,1,750,0,11,8.5,0.0,445,22,0.0,down,LOW,keyword article,commercial,365+,0-30,unknown,moderate,page_1
14250,content_a059cafb38e7,client_19581e27de,54.54599261786781,random_forest,0.4803819683608697,0.6587077874433107,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,1,3245,7,42,8.3,0.22,463,22,0.0,down,LOW,keyword article,informational,365+,0-30,unknown,good,page_1
14251,content_33b4dceecad1,client_19581e27de,54.54247837045718,random_forest,0.360719655918755,0.9191677876417234,medium,monitor,low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,181574,295,328,6.2,0.16,144,104,0.0,stable,LOW,keyword article,informational,91-180,91-180,unknown,excellent,page_1
14252,content_ff1c24e640ec,client_f74efabef1,54.541116719807704,random_forest,0.6190457941201838,0.3566102578962585,medium,monitor,general_refresh_review,0,359,1,2,7.4,0.28,117,20,2591.0,stable,HIGH,keyword article,informational,91-180,0-30,2000-3500,moderate,page_1
14253,content_e53df66aeadb,client_a88a7902cb,54.5409731924712,random_forest,0.6309444530474145,0.3306960023951247,medium,monitor,general_refresh_review,1,49,0,5,13.4,0.0,138,28,3705.0,down,LOW,keyword article,informational,91-180,0-30,3500+,low,striking
14254,content_1efec8da6e83,client_f369cb89fc,54.54001337852501,random_forest,0.6700632818682538,0.2454833798095238,medium,refresh,declining_with_demand|model_decline_risk,1,133,0,1,34.6,0.0,97,20,2814.0,down,MEDIUM,keyword article,commercial,91-180,0-30,2000-3500,low,page_3_5
14255,content_8bd6324fc066,client_6208ef0f77,54.539506515469014,random_forest,0.4827988987500216,0.6532430602006801,medium,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|engagement_review_candidate,1,2306,25,109,13.4,1.08,287,104,6979.0,down,LOW,keyword article,informational,181-365,91-180,3500+,moderate,striking
14256,content_68c75c1fd6f3,client_8722616204,54.53922830341048,random_forest,0.6717897835932041,0.2416994335510204,medium,refresh,general_refresh_review|model_decline_risk,1,67,0,11,11.8,0.0,183,20,6595.0,down,MEDIUM,keyword article,transactional,181-365,0-30,3500+,low,striking
14257,content_b8ce248b3e6b,client_e629fa6598,54.53777185577589,random_forest,0.6178981847709231,0.35900517069161,medium,refresh,declining_with_demand|page_one_decay_risk,1,336,0,2,7.1,0.0,460,20,0.0,down,LOW,keyword article,informational,365+,0-30,unknown,moderate,page_1
14258,content_fd1a1fa2723e,client_f369cb89fc,54.53551790017307,random_forest,0.6523362300266679,0.2839448778588435,medium,refresh,declining_with_demand|model_decline_risk,1,159,1,13,16.2,0.63,151,20,2614.0,down,HIGH,keyword article,transactional,91-180,0-30,2000-3500,low,striking
14259,content_97ac3ef99651,client_4e07408562,54.535294817499825,random_forest,0.6045703012308733,0.3879500983877552,medium,refresh,low_ctr_visible_page|visible_model_opportunity|ctr_review_candidate,0,1263,0,2,15.2,0.0,327,13,2225.0,stable,LOW,keyword article,informational,181-365,0-30,2000-3500,moderate,striking
14260,content_74f936a9cfdd,client_19581e27de,54.535068578746085,random_forest,0.4642026017771185,0.6935991631802721,medium,monitor,page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,0,4045,13,14,4.6,0.32,441,22,0.0,stable,LOW,keyword article,informational,365+,0-30,unknown,good,page_1
14261,content_9f7fc7ab5636,client_6208ef0f77,54.5343090649633,random_forest,0.4494309090227385,0.725741469595238,medium,monitor,low_engagement_visible_page|engagement_review_candidate,0,6957,46,262,19.9,0.66,124,104,3567.0,stable,LOW,keyword article,informational,91-180,91-180,3500+,good,striking
14262,content_a91d4278281f,client_19581e27de,54.529624308178825,random_forest,0.438414670028729,0.7495840247165534,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,1,7298,18,31,4.0,0.25,466,22,0.0,down,LOW,keyword article,transactional,365+,0-30,unknown,good,page_1
14263,content_9bffe222a0f6,client_f369cb89fc,54.52941426644864,random_forest,0.6165327095474813,0.3617185605311792,medium,refresh,declining_with_demand|page_one_decay_risk,1,395,1,5,6.0,0.25,187,20,3467.0,down,HIGH,keyword article,transactional,181-365,0-30,2000-3500,moderate,page_1
14264,content_9625b0d86d2d,client_4e07408562,54.52893411281627,random_forest,0.478417591740827,0.6624546428287982,medium,monitor,low_ctr_visible_page|ctr_review_candidate,0,1746,0,15,11.0,0.0,504,104,0.0,stable,unknown,keyword article,informational,365+,91-180,unknown,moderate,striking
14265,content_db8244b65db1,client_19581e27de,54.52879411296936,random_forest,0.4627844545650643,0.6964920494897959,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,1,4194,12,23,4.8,0.29,441,22,0.0,down,LOW,keyword article,informational,365+,0-30,unknown,good,page_1
14266,content_799641a02d77,client_4e07408562,54.52796753113065,random_forest,0.4339144588430439,0.759331870367347,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,1,10964,14,15,9.1,0.13,347,25,2652.0,down,LOW,keyword article,informational,181-365,0-30,2000-3500,good,page_1
14267,content_8d879fc70a43,client_19581e27de,54.527209534549684,random_forest,0.5664168157762416,0.4707792762755102,medium,refresh,declining_with_demand,1,254,0,2,16.8,0.0,329,104,0.0,down,LOW,keyword article,transactional,181-365,91-180,unknown,low,striking
14268,content_3ee3863d0542,client_6208ef0f77,54.52584048456476,random_forest,0.4427944204142822,0.7399292425714286,medium,monitor,low_engagement_visible_page|engagement_review_candidate,0,17590,75,748,26.2,0.43,216,104,6173.0,stable,LOW,keyword article,informational,181-365,91-180,3500+,good,page_3_5
14269,content_8eba98f0d2f8,client_19581e27de,54.52453082453437,random_forest,0.4539403770716251,0.7156177497165533,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,5779,11,42,7.1,0.19,480,22,0.0,stable,LOW,keyword article,informational,365+,0-30,unknown,good,page_1
14270,content_8726d4f4e7ce,client_19581e27de,54.521710713027446,random_forest,0.4473174827882684,0.729951631377551,medium,monitor,low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,38083,67,66,5.3,0.18,112,20,2938.0,stable,LOW,keyword article,transactional,91-180,0-30,2000-3500,excellent,page_1
14271,content_47e23439a6ea,client_3fdba35f04,54.51903620815277,random_forest,0.4340800175696412,0.7586935269455781,medium,monitor,low_engagement_visible_page|engagement_review_candidate,0,12377,70,84,10.6,0.57,165,26,2845.0,up,LOW,keyword article,commercial,91-180,0-30,2000-3500,good,striking
14272,content_bf7e47e20643,client_6208ef0f77,54.51795590350924,random_forest,0.4281339321118851,0.7716077525566893,medium,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|engagement_review_candidate,1,11973,104,203,15.9,0.87,216,104,5537.0,down,LOW,keyword article,informational,181-365,91-180,3500+,good,striking
14273,content_ddf358ee59d0,client_19581e27de,54.51757480390478,random_forest,0.3825727729168073,0.8708070863378684,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,14010,52,67,4.3,0.37,329,104,0.0,stable,HIGH,keyword article,transactional,181-365,91-180,unknown,good,page_1
14274,content_a7cddce22a29,client_f74efabef1,54.5167006818316,random_forest,0.4872081467545449,0.6429323149387755,medium,monitor,low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,49086,60,57,5.7,0.12,140,8,3411.0,stable,LOW,keyword article,informational,91-180,0-30,2000-3500,excellent,page_1
14275,content_6d7b6cb67678,client_a88a7902cb,54.51564246603468,random_forest,0.6071182418479171,0.3817905196232992,medium,refresh,low_ctr_visible_page|visible_model_opportunity|ctr_review_candidate,0,628,2,3,16.0,0.32,112,20,2954.0,up,MEDIUM,keyword article,transactional,91-180,0-30,2000-3500,moderate,striking
14276,content_aaf86378deaa,client_d029fa3a95,54.51262391275948,random_forest,0.6126372515246453,0.3696787620408163,medium,monitor,page_one_decay_risk,0,440,3,12,7.0,0.68,280,20,3114.0,new,LOW,keyword article,informational,181-365,0-30,2000-3500,moderate,page_1
14277,content_b51781c1c8a1,client_f369cb89fc,54.511175365485975,random_forest,0.6712750306796678,0.2419476656882086,medium,refresh,general_refresh_review|model_decline_risk,1,59,0,1,11.3,0.0,141,20,2741.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,low,striking
14278,content_696c3cccc2e3,client_a88a7902cb,54.50894636126235,random_forest,0.6312817623750755,0.3289652173333334,medium,monitor,general_refresh_review,0,154,0,1,75.6,0.0,105,28,2957.0,up,LOW,keyword article,transactional,91-180,0-30,2000-3500,low,deep
14279,content_387f48428394,client_19581e27de,54.50862772178971,random_forest,0.4308404586136545,0.7654240080215419,medium,monitor,low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,6481,5,68,15.9,0.08,313,104,0.0,stable,MEDIUM,keyword article,transactional,181-365,91-180,unknown,good,striking
14280,content_e84ab3a65eb4,client_19581e27de,54.50561857737469,random_forest,0.3932968183027223,0.8470831314625851,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,10199,35,44,4.9,0.34,330,104,0.0,up,LOW,keyword article,transactional,181-365,91-180,unknown,good,page_1
14281,content_1b8dee993cc2,client_d029fa3a95,54.50490091687102,random_forest,0.6732179519100525,0.2375216958106576,medium,refresh,general_refresh_review|model_decline_risk,0,239,0,3,8.9,0.0,148,8,2741.0,stable,LOW,comparison article,informational,91-180,0-30,2000-3500,low,page_1
14282,content_551a687c85ed,client_19581e27de,54.50376002289966,random_forest,0.528984960922903,0.5515591298185941,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|visible_model_opportunity|ctr_review_candidate,1,724,0,8,19.5,0.0,236,104,0.0,down,LOW,keyword article,transactional,181-365,91-180,unknown,moderate,striking
14283,content_b7553fdf4ef1,client_8527a891e2,54.50344497445623,random_forest,0.6238797116940962,0.3449123339325396,medium,monitor,general_refresh_review,1,46,0,2,7.0,0.0,173,98,1580.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,low,page_1
14284,content_4e6a1e87ecd6,client_19581e27de,54.50190112273996,random_forest,0.6639440287147668,0.2576227060997733,medium,refresh,general_refresh_review|model_decline_risk,0,126,0,1,23.3,0.0,124,20,3208.0,stable,LOW,keyword article,commercial,91-180,0-30,2000-3500,low,page_3_5
14285,content_5e3045c363ca,client_3fdba35f04,54.50024264589571,random_forest,0.5065049911331994,0.6004007172789115,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,4436,15,52,8.1,0.34,333,20,2418.0,down,LOW,keyword article,informational,181-365,0-30,2000-3500,good,page_1
14286,content_fe6d650abc0d,client_4e07408562,54.500022694652664,random_forest,0.626830977468193,0.3383793791547619,medium,refresh,declining_with_demand|visible_model_opportunity,1,2439,0,4,38.9,0.0,421,7,2568.0,down,HIGH,keyword article,transactional,365+,0-30,2000-3500,moderate,page_3_5
14287,content_9acd1f0a15e7,client_f369cb89fc,54.49831448078901,random_forest,0.4447922596331484,0.7347225997250567,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,1,40827,153,144,5.3,0.37,95,20,2792.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,excellent,page_1
14288,content_4d62be3a603c,client_19581e27de,54.49755874880674,random_forest,0.4712203710514564,0.6771508543650795,medium,monitor,page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,0,3769,8,24,7.1,0.21,441,22,0.0,stable,LOW,keyword article,informational,365+,0-30,unknown,good,page_1
14289,content_d87561fb614e,client_f369cb89fc,54.49631114258332,random_forest,0.4785746270122846,0.6610978669954648,medium,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|engagement_review_candidate,1,7803,62,39,4.3,0.79,97,20,2654.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,good,page_1
14290,content_28a0ef975a77,client_19581e27de,54.494866810209366,random_forest,0.4537295693469877,0.7151540125566893,medium,monitor,page_one_decay_risk|low_engagement_visible_page|engagement_review_candidate,0,2492,18,31,6.5,0.72,329,104,0.0,up,LOW,keyword article,transactional,181-365,91-180,unknown,moderate,page_1
14291,content_f237ced1ba05,client_19581e27de,54.49441781417366,random_forest,0.3950709247117991,0.8428715160997732,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,8991,33,36,3.9,0.37,330,104,0.0,stable,LOW,keyword article,transactional,181-365,91-180,unknown,good,page_1
14292,content_c34ae04b892e,client_4e07408562,54.49329249022834,random_forest,0.4023856388986517,0.8269084363945578,medium,monitor,page_one_decay_risk|low_ctr_visible_page|ctr_review_candidate,0,8122,23,21,5.8,0.28,537,104,0.0,stable,unknown,keyword article,informational,365+,91-180,unknown,good,page_1
14293,content_67c1e692c9fd,client_19581e27de,54.49319334820926,random_forest,0.4398611167960707,0.7453010476190475,medium,monitor,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|ctr_review_candidate|engagement_review_candidate,0,8906,10,47,8.5,0.11,480,22,0.0,up,LOW,keyword article,commercial,365+,0-30,unknown,good,page_1
